DF_UID,roof_tilt,roof_aspect,roof_area,roof_x,roof_y,SIS,SISDIR,DHI,horizon_S,horizon_SSW,horizon_SWW,horizon_W,horizon_NWW,horizon_SSE,horizon_SEE,horizon_E,horizon_NEE,tilted_radiation
5619114,41,147.0,10.892332257786308,554754.0625,204725.203125,1268.329672087872,679.4464806091986,588.8841888105271,50.8888549804688,11.0086212158203,12.552978515625,21.1634407043457,15.7960567474365,50.8888549804688,46.3023338317871,38.8338050842285,38.8338050842285,753
4714531,18,12.0,13.921213209684124,537783.1875,152082.578125,1318.350780051756,798.8381458322999,519.4544267505523,0.0,0.0,0.0,0.0,2.6111918091774,13.2963633537292,28.118611335754398,30.044585227966298,27.600265502929698,1377
5549986,16,-25.0,62.33686655359903,571586.25,214272.375,1288.326255362469,701.1941274946663,587.1358431343155,14.292622157505601,9.32662832736969,10.6718698484557,9.8206787109375,9.51368367246219,5.1644065124648,0.43244579860142296,3.26924173321043,3.56909563711711,1438
6304849,60,129.0,8.357417804989613,575516.625,191710.109375,1294.021768931272,743.2735525442337,550.7389841481689,61.99088287353521,15.853732109069801,0.0,0.0,0.0,61.99088287353521,56.603092193603494,54.17008972167971,54.17008972167971,746
7824462,22,170.0,103.1981871310149,579874.5625,113008.7578125,1393.1362229510814,848.2450586669971,544.8575997106261,3.2423672464986653,4.21165260672569,10.6524814565976,8.28774999578794,7.4423092007637,0.470266749461492,0.612263109534979,4.9308030704657195,2.84432861208916,975
7796638,0,0.0,16.862354891299447,554581.25,121081.640625,1335.6174238346634,721.1467255873943,614.4699040104903,13.49226498603823,25.8998694419861,24.0763201713562,19.4650192260742,27.0903344154358,6.73169279098511,0.0,2.7101394534111,2.99322033673525,1237
4792587,12,167.0,55.27817390642417,536134.125,155683.046875,1349.6991099814115,808.3410771498579,541.3056881200679,25.570223349791302,17.693342502300602,7.1164700618157015,22.2432182018573,17.2513969861544,27.166892711932807,22.605814933776887,11.643047882960401,9.61779891527616,1107
5016968,29,49.0,101.8322998447288,497785.5625,114261.8515625,1318.0543198306925,786.7097432342277,531.2670636670994,1.571090704202655,3.70639054179192,3.07429839372635,3.1195847570896102,1.6988288462162,1.4006091594696,12.587116885185196,21.8774485856295,23.274975180625898,1467
7784910,31,-100.0,37.9222142290812,566408.125,118494.2421875,1285.728302830216,748.9217557902223,536.7416027578704,9.34144461445976,12.184789121150999,13.4523984193802,13.8582281470299,15.0657937526703,12.8930180072784,5.4868387207388905,2.9255284938262798,4.17606694623828,1074
7563219,13,-164.0,133.27157177266116,566469.8125,128418.640625,1323.9620590017887,787.1285768921159,536.786478761761,12.18167956218575,10.105770262804901,24.983165618145105,17.1578446698911,11.937180186763001,14.531550255688801,15.7871837471471,18.792464053992106,16.0891254598444,1039
7786675,37,69.0,332.169553164406,566431.25,118782.5234375,1285.728302830216,748.9217557902223,536.7416027578706,31.815923705467807,29.6979978653101,32.791260443284,45.187274434016295,56.0903195894682,30.0053326386672,14.0362354792081,8.92564123043647,9.51222637547897,801
6971800,24,45.0,12.310675091492266,587513.6875,176286.515625,1249.5212048338135,683.1368042246485,566.3679315690778,28.9517879486084,7.07688212394714,0.0,0.0,0.0,36.5979499816895,38.5870571136475,33.0939702987671,33.0939702987671,1114
6930201,24,-86.0,207.6143116351461,576693.5,175031.390625,1289.4635627476664,735.1136877730688,554.3272099874383,5.5595866402953265,9.9272321623807,15.3274572053354,15.312533612154,15.2877077594095,1.8891856358671697,2.14540870843113,0.764106154441833,0.733957806412055,1270
6259036,34,-34.0,87.27831733222997,581221.625,184447.828125,1274.6964356834258,725.6814296441069,548.9789843281767,0.3830113543404475,3.829239209493,19.8593778951714,20.5194183985392,22.3118112617069,0.6258871058623,0.0269827346007029,0.3958337571885849,0.761813852522108,1509
4823183,27,-78.0,114.9150636033103,505206.9375,136564.0625,1331.9909649731915,795.7916954932389,536.1476131400435,5.97384877846791,12.7108464561976,18.5233057553952,20.7749519656197,18.260834308771,5.97384877846791,2.05202484130859,0.0,2.67616132589487,1376
6249348,25,52.0,39.86082894533098,578761.5,183956.796875,1265.3985343953455,719.6382696438893,545.7269745360198,0.5113867281211745,2.57550313075384,4.78553891181946,5.14780876371596,16.2564876609378,0.0,0.0,8.63485357496474,13.067456775241402,1333
9026886,38,-151.0,40.15807417767122,532104.4375,163543.03125,1327.3874664177536,780.5120539775252,546.8224140923552,19.266978561878247,16.5193763971329,14.579124510288201,11.6662787795067,2.78504404332489,18.937126934528397,10.872070142067999,6.33600872755051,6.0112376511097,828
6489917,52,166.0,31.83560896730675,576235.875,181898.171875,1271.163577753349,723.5438944967456,547.5864973658762,32.7877550125122,19.4719977378845,11.4120848178864,0.0281785689294338,6.81026303768158,38.8190259933472,28.0842304229736,21.004650354385397,21.606109797954602,571
5100937,8,-139.0,39.0406562068736,505728.59375,119291.1796875,1330.67084261816,799.9032791768883,530.6911481822061,13.710627045896347,18.9289815690782,14.0142199198405,13.7292537689209,10.4189534717136,13.4466167555915,2.6192487478256203,0.947918891906738,0.947918891906738,1244
5447016,26,130.0,137.64386325887122,546735.0,211162.546875,1244.325451105865,663.3070422051388,581.0352445213898,34.381681144237554,15.004957545548699,0.0,0.0,0.0,34.489397019147894,35.9069561953656,35.4821450933814,35.4821450933814,979
7833027,12,-153.0,31.950253318168546,582115.75,114437.59375,1361.8697750757553,840.2907475966977,521.5226510008182,24.12458378076555,21.07848072052,11.8233846724033,8.58267703652382,9.02910456061363,23.233875110745398,13.086923993192599,7.301852069795129,7.35718811117113,1113
6815348,25,119.0,18.084682464988397,530590.0625,179262.1875,1262.0146845031745,702.9098960057356,559.0532235364809,19.241801261901895,18.1449828147888,9.65993595123291,17.6183295249939,10.093624591827401,23.9434325695038,40.5509548187256,38.384109020233204,38.384109020233204,1013
7214707,27,105.0,24.213163091690305,588590.5625,161948.234375,1311.412149428083,720.1667172614032,591.247235682962,17.01640526453655,14.9656184514364,11.8054364522298,5.7147308588028,0.4694491624832151,12.568096796671501,14.7112515767415,0.97796039779981,6.65742488702138,1028
6947904,24,-119.0,86.90096660895814,577410.4375,178042.09375,1271.1020175320098,721.820093451222,549.2457548418182,11.68508027729235,13.026760302091901,8.125622297588151,20.6924589558652,9.848527757745039,9.197234304327713,11.1646976721914,16.641058670847002,17.837328710054102,1111
4636348,33,53.0,73.92021609433107,525102.875,152637.671875,1362.281631883959,820.7944213753267,541.4520245675021,11.06731349627177,17.4804012298584,12.5852930386861,11.0176909128825,7.84994421005249,5.8406061728795375,14.382910982767699,20.8301661809285,19.50454603830969,1435
6977888,40,-32.0,1.182224661847237,586435.8125,178643.734375,1275.5836672027792,708.889761857921,566.6773079849178,0.0,0.0,34.6057624816895,34.6057624816895,42.3702430725098,0.0,0.0,0.0,6.78835201263428,1448
5586105,47,-129.0,20.69979390019256,554563.1875,198761.96875,1252.0400296884684,706.8053110294594,545.2249965262954,17.5427842140198,24.476617336273197,23.086651444435105,22.5515785217285,9.617265939712519,17.5427842140198,0.0,0.0,0.0,825
5577215,26,42.0,2.229125137668744,539201.25,204284.484375,1264.0834609353542,677.9073228506428,586.2008917622181,17.464134216308597,36.8757667541504,46.9861907958984,42.3138217926025,22.03728675842289,2.9537891149520896,5.267078816890719,25.3301048278809,25.3301048278809,916
7283383,37,-146.0,27.032103876472306,557204.375,147122.71875,1306.9551017233687,777.7227282772614,529.172794282855,29.0633201599121,16.574613889058398,9.60457706451416,7.65519654750824,3.71144942442576,28.896274248759,10.0713380177816,6.62625908851624,14.895002524058,792
4753655,32,68.0,19.313636539964328,540038.9375,153307.046875,1342.5643297402644,803.9662670840347,538.5468036210593,0.548769022896886,1.7570793509483302,0.0,7.07965812683105,3.4450369358062702,10.048797416687,24.7392875671387,39.3265487670898,46.326318359375,1381
4631424,38,35.0,139.7015175046285,531714.6875,152016.109375,1310.094951778237,795.3761830821048,514.6661153158085,0.13128792135803752,0.0,0.146288443494726,0.0,7.21105332500129,0.18409225482631605,9.47023974524604,22.2330009534403,22.234103397086802,1522
5453137,38,56.0,55.67275862569396,548246.4375,212416.4375,1243.295514152457,663.5088116069223,579.8052579497868,13.784469091892252,16.9197771787643,4.5626303255558,0.64888504743576,1.01129336953163,8.993919491767883,25.9046650409698,47.090347099304196,47.119280052185104,1268
5087618,30,29.0,56.95501099455925,507054.1875,118415.6953125,1326.1606224773113,796.1452219198828,529.9428865873837,13.541083867733299,5.5051069076244605,9.551282149094801,3.65265837082496,13.822460724757304,3.7219265745236303,11.5000704618601,18.0258828584964,17.837742278209102,1530
7128444,24,-84.0,19.330089625077125,559252.9375,159094.9375,1335.6613028862052,773.993029803903,561.6379270970269,0.0,6.698701024055481,24.9108843803406,24.9108843803406,24.7434449195862,0.0,0.0,0.0,0.982979029417038,1353
