#,@@ORI@@,@@WINS@@,@@RSA@@,@@OVER@@,@@HS@@,@@LIGHTS@@,Electricity:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),ZONE ONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](RunPeriod)
239,15.071903,0.057264967,0.842262642,0.880020425,21.53846358,938.4544328,9929898968,70433568819,448082764.4,2714.5
240,60.40248672,0.079228314,0.510362273,1.170305359,18.55184463,899.9620671,9522606627,44025859924,275271343.2,6884
241,41.31645484,0.047299597,0.764155946,2.07035286,20.99248634,1133.022764,11988649824,63184775617,316006048.4,3892
242,52.8092029,0.066585759,0.616573451,0.627875135,20.53858256,892.1006199,9439423711,61542217170,371561754.1,4998
243,42.10800155,0.062646683,0.762666676,0.848456516,17.74513178,1050.164598,11111917634,35160629653,428932203,6783.25
244,80.65038738,0.048291726,0.714832117,1.941400097,18.56488436,1064.86838,11267500115,40639610643,258095629,6791
245,49.54329183,0.053312286,0.526529173,1.503890269,18.76710679,969.5482676,10258906566,43346180044,242703441.8,6811.5
246,26.79112318,0.060418554,0.792755626,1.640900975,20.09170658,981.1491906,10381657323,56349204800,341520973.6,5942.25
247,62.90160515,0.06523044,0.446067554,0.191485726,20.30559516,869.4767383,9200037705,59042615786,418435472.6,5457.75
248,19.26321846,0.058580628,0.527340452,0.619612395,17.07614156,1104.941044,11691513776,29554148664,466740803.5,6771
249,10.52798418,0.057913635,0.615046751,1.165862243,19.00979119,1007.654076,10662108699,45793675518,369025793.5,6769.75
250,65.81491899,0.047562457,0.784109605,1.459420057,19.49386739,838.335699,8870530632,49602977498,233361630.5,6697
251,52.752429,0.042667184,0.724809308,1.954063481,18.46686523,1040.752825,11012330530,39303231129,259422331.5,6767.75
252,36.36576059,0.059665371,0.498979965,1.322272718,18.33559111,879.6244683,9307412054,40569815673,258077989.5,6845.25
253,34.81741751,0.059033826,0.582501609,1.883652348,19.44010179,1156.541985,12237509523,49487627995,318109557.4,6689.5
254,5.293800335,0.067460115,0.586022967,0.374690035,20.79325065,986.3582774,10436775296,63797265801,547275422.1,4533.5
255,14.40393648,0.072659463,0.500876765,2.092223761,19.58241404,793.2060937,8393008862,53738834478,238172859,6784.25
256,80.82529908,0.079941467,0.400128389,1.257145605,18.23768054,1102.682581,11667616710,40710246091,281365053.3,6869.75
257,43.98105252,0.05888164,0.535442006,0.440377868,18.21526138,1113.441629,11781459489,38420542229,471636630.1,6741.5
258,73.11011367,0.099278046,0.566460539,0.330087011,17.80512176,917.6005832,9709241883,38730474726,487013154.4,6896.75
259,89.95127448,0.05273834,0.655667549,1.173962228,19.42355441,1025.977319,10855989125,48813551225,283102439.6,6694.25
260,0.457035377,0.075057405,0.574377412,1.06848347,19.56916781,960.2913168,10160957658,52918388653,396086173.8,6694
261,23.23855039,0.077305384,0.451475219,0.179896325,17.85108885,1003.115916,10614089878,37459621993,556679096.1,6826.75
262,45.63931201,0.080495389,0.460484577,1.558965797,18.60102769,1076.314789,11388615938,44133962923,305472758.5,6859
263,77.61715623,0.037507281,0.64062446,0.979040762,20.94117168,1038.50397,10988535124,61376231127,279249681.5,3874
264,89.58685333,0.029992834,0.797358312,0.875151903,19.77004483,966.3727687,10225306231,49101454128,303610939.6,6154
265,8.056780573,0.065293985,0.710606989,0.980967421,16.98311462,1005.151738,10635631154,29670428482,438273991.4,6825.25
266,35.56118159,0.050774535,0.515049762,0.79058185,20.37133663,1074.785956,11372439171,57471980954,369284227.6,5159.75
267,45.12790486,0.06396658,0.68578038,1.469900935,19.47972316,1011.494254,10702742080,50746832304,316314586.9,6699.5
